Section	Control	Moderate Level 4	Moderate Level 5	Moderate Level 6	High Level 4	High Level 5	High Level 6	Requirement	Related	Parameters
Table 5-2	AC-2 (13)	x	x	x	x	x	x			
Table 5-2	AC-3 (4)	x	x	x	x	x	x			
Table 5-1	AC-6 (7)	x	x	x						
Table 5-1	AC-6 (8)	x	x	x						
Table 5-2	AC-12 (1)		x	x		x	x			
Table 5-2	AC-16	x	x	x	x	x	x			
Table 5-2	AC-16 (6)	x	x	x	x	x	x			
Table 5-1	AC-17 (6)	x	x	x						
Table 5-1	AC-18 (3)	x	x	x						
Table 5-1	AC-23	x	x	x						
Table 5-1	AT-3 (2)	x	x	x						
Table 5-1	AT-3 (4)	x	x	x						
Table 5-1	AU-4 (1)	x	x	x						
Table 5-1	AU-6 (4)	x	x	x						
Table 5-1	AU-6 (10)	x	x	x						
Table 5-2	AU-10		x	x		x	x			
Table 5-1	AU-12 (1)	x	x	x						
Table 5-1	CA-3 (1)		x	n/a*		x	n/a*			
Table 5-1	CM-3 (4)	x	x	x						
Table 5-1	CM-3 (6)	x	x	x						
Table 5-1	CM-4 (1)	x	x	x						
Table 5-1	CM-5 (6)	x	x	x						
Table 5-1	IA-2 (9)	x	x	x						
Table 5-2	IA-3 (1)	x	x	x	x	x	x			
Table 5-1	IA-5 (13)	x	x	x						
Table 5-1	IR-4 (3)	x	x	x						
Table 5-1	IR-4 (4)	x	x	x						
Table 5-1	IR-4 (6)	x	x	x						
Table 5-1	IR-4 (7)	x	x	x						
Table 5-1	IR-4 (8)	x	x	x						
Table 5-1	IR-5 (1)	x	x	x						
Table 5-1	IR-6 (2)	x	x	x						
Table 5-1	MA-4 (3)	x	x	x						
Table 5-1	MA-4 (6)	x	x	x						
Table 5-1	PE-3 (1)	x	x	x						
Table 5-1	PL-8 (1)		x	x		x	x			
Table 5-1	PS-4 (1)		x	x		x	x			
Table 5-2	PS-4 (1)	x			x					
Table 5-1	PS-6 (3)		x	x		x	x			
Table 5-2	PS-6 (3)	x			x					
Table 5-1	SA-4 (7)		x	x		x	x			
Table 5-1	SA-12	x	x	x						
Table 5-1	SA-19	x	x	x						
Table 5-1	SC-7 (10)	x	x	x						
Table 5-1	SC-7 (11)		x	x		x	x			
Table 5-2	SC-7 (11)	x			x					
Table 5-1	SC-7 (14)			x			x			
Table 5-2	SC-7 (14)	x			x					
Table 5-1	SC-8 (2)		x	x		x	x			
Table 5-2	SC-18 (3)			x			x			
Table 5-2	SC-18 (4)		x	x		x	x			
Table 5-1	SC-23 (1)	x	x	x						
Table 5-1	SC-23 (3)	x	x	x						
Table 5-1	SC-23 (5)		x	x		x	x			
Table 5-1	SI-2 (6)	x	x	x						
Table 5-1	SI-3 (10)		x	x						
Table 5-1	SI-4 (12)	x	x	x						
Table 5-1	SI-4 (19)	x	x	x						
Table 5-1	SI-4 (20)	x	x	x						
Table 5-1	SI-4 (22)	x	x	x		x	x			
Table 5-1	SI-10 (3)	x	x	x						
